mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.2202120304107666,0.034793398236863095,0.31494894027709963,0.0848653660352823,1,1,"{'n_neighbors': 1, 'p': 1}",-402.7899432278994,-424.48348974626344,-404.73684820393976,-419.36848203939746,-430.2938586326767,-416.33452437003535,10.84836687864237,59,-0.3754815909156745,-0.2638973378523218,-0.2766641561902555,-0.39366201262962747,-0.3726319448467644,-0.3364674084869287,0.05467000457456857
0.18939943313598634,0.01406556389130974,0.3163015842437744,0.0074211148863592225,1,2,"{'n_neighbors': 1, 'p': 2}",-442.88807785888076,-457.8545939056888,-437.5,-444.72201622247974,-456.917033603708,-447.9763443181515,8.046746385985184,60,-0.3754815909156745,-0.2638973378523218,-0.2766641561902555,-0.39366201262962747,-0.3726319448467644,-0.3364674084869287,0.05467000457456857
0.23178658485412598,0.045898086817219616,0.4124912261962891,0.08201341158441793,2,1,"{'n_neighbors': 2, 'p': 1}",-377.0400880546866,-392.0763526821921,-375.0234067207416,-382.69368482039397,-391.26402085747395,-383.61951062709767,7.042665282216996,39,-209.0273167057733,-208.05641493583616,-209.6519900353398,-208.14815190313422,-208.57088233590176,-208.69095118319706,0.5913410650121002
0.214638614654541,0.023420491704910628,0.4188803195953369,0.016112822697351294,2,2,"{'n_neighbors': 2, 'p': 2}",-406.4535395666783,-424.0264743366933,-400.11969872537657,-411.24443800695246,-416.7360950173812,-411.7160491306164,8.235765855623235,58,-224.9160221314562,-224.5484198024391,-225.45442036961938,-226.1525838595678,-224.76742367186142,-225.16777396698876,0.5760686784247534
0.18850111961364746,0.018195128435842752,0.4763194561004639,0.06975834505682288,3,1,"{'n_neighbors': 3, 'p': 1}",-362.16668597690494,-376.7646854362182,-369.7350714561607,-364.48404789494015,-372.70212437234454,-369.1705230273137,5.319379818674159,28,-257.3423230304259,-253.45137742243853,-255.7402429368712,-256.6878512253056,-253.49036363285245,-255.34243164957874,1.610851651692268
0.1916940689086914,0.030215531219149685,0.5186165809631348,0.016832831170328348,3,2,"{'n_neighbors': 3, 'p': 2}",-390.15038813578957,-408.7899818483761,-387.3055619930475,-394.6420625724218,-403.51235998455,-396.88007090683703,8.096934845851527,57,-276.8218572270019,-274.9587594024893,-275.79594654616386,-277.06188324353553,-273.4410231156943,-275.615893906977,1.322084744585425
0.22680211067199707,0.017644316816199258,0.49785561561584474,0.02263538324993215,4,1,"{'n_neighbors': 4, 'p': 1}",-357.62255242729697,-370.2505503417912,-357.7776940903824,-354.78551564310544,-368.14533603707997,-361.7163297079312,6.236554990699346,22,-278.39928594189047,-276.5167579154717,-275.4037208157117,-277.8793233300504,-273.0688908522102,-276.2535957710669,1.9068751180601817
0.24094715118408203,0.044837410040522586,0.5838462829589843,0.03298835277630399,4,2,"{'n_neighbors': 4, 'p': 2}",-384.3940157571544,-403.6400185378288,-380.00776361529546,-386.45512746234067,-395.4028679026651,-389.9799586550569,8.47439729556649,51,-300.9596332667072,-299.0532646794705,-300.10772116331617,-299.16963095996755,-295.5036570882336,-298.95878143153897,1.8608997506062563
0.20104737281799318,0.024212066118979574,0.5968049049377442,0.10015950863562617,5,1,"{'n_neighbors': 5, 'p': 1}",-349.13078438187927,-365.2885181323137,-351.7472305909617,-350.5455851680186,-366.30625724217845,-356.6036751030703,7.55905022208433,16,-291.04321427536865,-286.8188117377828,-289.60563119170376,-290.0508487341406,-285.50745032153407,-288.605191252106,2.089110458171031
0.1875162124633789,0.01230100300638254,0.6398786544799805,0.016540080501239857,5,2,"{'n_neighbors': 5, 'p': 2}",-380.9748117251768,-402.8850654617078,-378.71497103128615,-382.2083893395133,-390.20516801853995,-386.9976811152448,8.837562009342466,45,-314.64367776136265,-310.5594160076475,-314.1865708823359,-314.277272463936,-311.1386130583396,-312.96111003472436,1.740959586690636
0.18031868934631348,0.012435459645940183,0.6063840389251709,0.03614589178197395,6,1,"{'n_neighbors': 6, 'p': 1}",-348.1301703163017,-365.3643069555478,-347.86593279258403,-347.2722865971417,-361.6223445345693,-354.0510082392289,7.804849879824285,12,-298.7528074698493,-295.7437936328612,-297.9036990904351,-298.5193741189193,-294.6110354749629,-297.10614195740555,1.6386811250985411
0.18718986511230468,0.011878720568748256,0.6889067173004151,0.019398327803878766,6,2,"{'n_neighbors': 6, 'p': 2}",-378.13972888425445,-398.65772602633916,-376.3260718424102,-381.45818848976444,-390.8452491309386,-385.08539287474133,8.432185198827128,42,-325.3765823701515,-320.63513030715603,-323.71045516868475,-324.6326014329027,-322.6388438290559,-323.39872262159014,1.6580965922795852
0.19449338912963868,0.03767036762003063,0.651851749420166,0.0658529349410947,7,1,"{'n_neighbors': 7, 'p': 1}",-345.78673221113263,-362.77782743267625,-345.104899851018,-344.52853832146997,-361.90142360536333,-352.0198842843321,8.439995485211936,7,-305.98449804880676,-302.362814353168,-304.9666051462008,-305.9679293535386,-302.21392983356367,-304.29915534705555,1.6833453494850883
0.19408802986145018,0.017821737795472952,0.7336396694183349,0.021974647606513686,7,2,"{'n_neighbors': 7, 'p': 2}",-378.6381647549531,-397.19630236522835,-375.63901671908627,-379.35881476576725,-389.79001820890585,-384.12446336278816,8.096729837753216,40,-332.2781081494908,-327.604480916378,-331.8971339187433,-330.7351626705951,-331.09793754707135,-330.72256464045574,1.6530479870675792
0.18948793411254883,0.01976835735476999,0.6714029788970948,0.03172846274935899,8,1,"{'n_neighbors': 8, 'p': 1}",-345.6637556482447,-362.52588054686595,-344.6233342989571,-344.41484646581694,-361.33106894553885,-351.7117771810847,8.361164876663972,6,-311.69576489672954,-307.5345297065554,-310.4058716180986,-311.13175656103357,-306.56751853890273,-309.46708826426396,2.037730179734742
0.2532585620880127,0.04075838795947919,0.7988593101501464,0.04190685672507622,8,2,"{'n_neighbors': 8, 'p': 2}",-377.5821457536786,-396.53914668057,-374.6376448435689,-378.6300550405562,-387.90462050984934,-383.05872256564464,8.071246506336992,38,-338.39823585643524,-334.2696872917934,-337.1457476391866,-336.10071838248075,-336.2469801865477,-336.4322738712887,1.3561043359636105
0.23395934104919433,0.023489897724012197,0.7260745525360107,0.044174588191328495,9,1,"{'n_neighbors': 9, 'p': 1}",-346.06681342447763,-363.1465904555929,-344.67614265482166,-342.8207029741213,-359.72883996395007,-351.2878178945927,8.420766146361531,2,-316.30692106897897,-311.8068261187233,-315.8727510315483,-315.0805541072038,-310.71069656064736,-313.95554977742034,2.2634631917251897
0.23516693115234374,0.02666278060618436,0.8168125152587891,0.021965647894894125,9,2,"{'n_neighbors': 9, 'p': 2}",-376.21798684329104,-395.3715161111755,-373.39988412514487,-377.99338225827216,-388.3819878975151,-382.27295144707966,8.277697205222708,35,-343.80288326912125,-338.33016296038807,-341.8459339937818,-341.01879316892934,-341.0997592517493,-341.2195065287939,1.7589302584714046
0.2277897357940674,0.04147113825192914,0.7569777965545654,0.0339486668544576,10,1,"{'n_neighbors': 10, 'p': 1}",-344.97785888077857,-364.13511759935113,-344.7519003476245,-342.46136732329086,-359.2650405561993,-351.1182569414489,8.82026606329987,1,-320.14760001158714,-314.918406187538,-318.69416603904756,-319.0306210532414,-314.66434447598635,-317.4910275534801,2.2575998537484523
0.2349630355834961,0.05893033067934006,0.9021903038024902,0.07366138108892284,10,2,"{'n_neighbors': 10, 'p': 2}",-374.7059089329162,-395.7154211562971,-373.35096176129775,-374.6637427578216,-389.5402317497103,-381.5952532716086,9.230157853862355,33,-346.70442049766814,-342.79553605051996,-345.8057383697352,-345.5567029720179,-344.74707432941307,-345.12189444387076,1.3201153869684628
0.20619821548461914,0.034239580606964456,0.7914700984954834,0.03398691415741376,11,1,"{'n_neighbors': 11, 'p': 1}",-345.2926659714981,-365.0403829746895,-344.57603497313806,-343.3242178447277,-358.6562730432951,-351.3779149614696,8.806763224628707,3,-322.5419599663972,-317.5656451540696,-321.7604004824328,-322.6514817955349,-317.97273938621487,-320.4984453569299,2.253200225645871
0.2026876449584961,0.02023421750702233,0.9009938716888428,0.025101392583367327,11,2,"{'n_neighbors': 11, 'p': 2}",-374.28588281143027,-395.4875764948757,-373.309006636469,-374.712061519014,-388.9837775202781,-381.3556609964134,9.129808556007236,31,-349.47795413068724,-345.3455182747787,-348.53029951914715,-348.1940449041718,-347.6365137382749,-347.83686611341193,1.3819226884661964
0.21783003807067872,0.034540171153475595,0.8728608608245849,0.08831595581015436,12,1,"{'n_neighbors': 12, 'p': 1}",-344.49469933958983,-367.07234580774724,-344.5195152568559,-343.2281382773271,-357.83564117419854,-351.4300679711437,9.474586550894921,4,-324.8748080878306,-319.9758794163939,-324.0577385435375,-324.91765395979377,-320.3337919780623,-322.83197439712364,2.210154764106692
